date,cases,deaths
2020-01-01,,
2020-01-02,,
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,0,0
2020-01-15,0,0
2020-01-16,0,0
2020-01-17,0,0
2020-01-18,0,0
2020-01-19,0,0
2020-01-20,0,0
2020-01-21,0,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0,0
2020-01-25,0,0
2020-01-26,0,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,0,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,11,0
2020-03-06,20,0
2020-03-07,20,0
2020-03-08,23,0
2020-03-09,29,0
2020-03-10,30,0
2020-03-11,34,0
2020-03-12,35,0
2020-03-13,39,0
2020-03-14,42,0
2020-03-15,42,0
2020-03-16,43,0
2020-03-17,45,0
2020-03-18,45,0
2020-03-19,48,0
2020-03-20,48,0
2020-03-21,52,0
2020-03-22,55,0
2020-03-23,59,0
2020-03-24,60,0
2020-03-25,62,0
2020-03-26,64,1
2020-03-27,91,1
2020-03-28,97,1
2020-03-29,104,1
2020-03-30,115,1
2020-03-31,117,1
2020-04-01,134,1
2020-04-02,155,1
2020-04-03,165,1
2020-04-04,193,1
2020-04-05,217,1
2020-04-06,246,1
2020-04-07,254,1
2020-04-08,263,1
2020-04-09,263,1
